modelo,use_bl,bl_method,conf_base,lookback,skip,train_years,max_weight,anio,perfil,prob_aceptacion_prom,prob_abandono_prom,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2019,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2019,conservador,0.2997955636898816,0.1451718228485861,0.1002,0.158,0.6341,0.0597,5,True,4785.46,0.2,0.0051
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2019,neutro,0.2239020716535569,0.0,0.2115,0.0647,3.2666,0.022,12,False,11545.12,0.25,0.0054
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2019,arriesgado,0.2471252341835525,0.0,0.256,0.0741,3.4553,0.0179,12,False,12110.14,0.25,0.0037
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2019,muy_arriesgado,0.0835919656981488,0.0,0.315,0.0715,4.4055,0.0192,12,False,12261.11,0.0833,0.0067
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2020,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2020,conservador,0.999990904533432,0.4990894757819538,-0.3353,,0.0,0.1131,2,True,1599.56,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2020,neutro,0.3849456515767157,0.3333312842340076,-0.6513,0.2734,-2.3818,0.27,3,True,2235.05,0.6667,0.001
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2020,arriesgado,0.3478409417572196,0.0,0.2992,0.2771,1.0798,0.2306,12,False,10845.75,0.3333,0.0035
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2020,muy_arriesgado,0.2587269767794349,0.0,0.3701,0.2977,1.243,0.2467,12,False,10846.34,0.25,0.0042
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2021,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2021,conservador,0.9999999999958556,0.5812485591598301,0.0,,0.0,0.0533,1,True,867.65,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2021,neutro,0.9958602798795578,0.0,0.3929,0.1288,3.0511,0.0533,12,False,12953.57,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2021,arriesgado,0.8742722637214982,0.0,0.3583,0.1065,3.3627,0.0428,12,False,12040.37,0.8333,0.0004
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2021,muy_arriesgado,0.856559041809123,0.0,0.3913,0.1199,3.2631,0.0485,12,False,12152.75,0.8333,0.0002
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2022,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2022,conservador,0.9962790178198908,0.37846424952014,-0.1468,0.183,-0.802,0.0866,4,True,3211.61,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2022,neutro,0.1899035555970652,0.1743640794824803,-0.2133,0.2029,-1.0514,0.1934,9,True,6895.05,0.2222,0.0037
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2022,arriesgado,0.0118467960081525,0.0,-0.114,0.1712,-0.6661,0.2112,12,False,8633.58,0.0,0.0099
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2022,muy_arriesgado,0.0037569300534035,0.0,-0.1771,0.2573,-0.6883,0.3056,12,False,7913.22,0.0,0.007
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2023,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2023,conservador,0.9886020293043718,0.1211990769299945,-0.1016,0.0544,-1.8687,0.0543,5,True,4502.57,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2023,neutro,0.5322686893287546,0.0,0.1492,0.1674,0.8912,0.0809,12,False,11238.56,0.5,0.0014
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2023,arriesgado,0.0001049765808252,0.0,0.0568,0.113,0.5026,0.0626,12,False,10189.14,0.0,0.0121
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2023,muy_arriesgado,0.0738474376848399,0.0,0.1581,0.1722,0.9184,0.0858,12,False,10496.25,0.0833,0.0041
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2024,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2024,conservador,0.9999993076254668,0.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2024,neutro,0.9863453356988586,0.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2024,arriesgado,0.1449622254459898,0.0,0.2154,0.0978,2.2021,0.0327,12,False,11512.72,0.1667,0.005
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2024,muy_arriesgado,0.3016665960545532,0.0,0.2457,0.1269,1.9354,0.0488,12,False,11799.81,0.25,0.0036
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2025,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2025,conservador,0.9792290161047728,0.0,0.2179,0.0754,2.89,0.0324,12,False,11366.0,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2025,neutro,0.6573638403655159,0.0,0.2266,0.0745,3.0428,0.0324,12,False,11389.62,0.6667,0.0011
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2025,arriesgado,0.3564840810281544,0.0,0.1278,0.0556,2.2979,0.0315,12,False,10878.62,0.25,0.0069
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01,2025,muy_arriesgado,0.3007137039786516,0.0,0.1052,0.0842,1.2491,0.0697,12,False,10616.85,0.25,0.0062
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2019,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2019,conservador,0.2997955636898816,0.1451718228485861,0.1002,0.158,0.6341,0.0597,5,True,4785.46,0.2,0.0051
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2019,neutro,0.5300412080772193,0.0,0.1557,0.0505,3.0846,0.0213,12,False,11265.5,0.5,0.0032
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2019,arriesgado,0.4459903434648007,0.0,0.188,0.0764,2.4619,0.0316,12,False,12031.72,0.4167,0.0046
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2019,muy_arriesgado,0.2851060141445921,0.0,0.2566,0.0841,3.0493,0.048,12,False,12158.98,0.25,0.0045
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2020,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2020,conservador,0.999990904533432,0.4990894757819538,-0.3353,,0.0,0.1131,2,True,1599.56,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2020,neutro,0.8695432025576443,0.3333249485142696,-0.6484,0.3355,-1.9326,0.2559,3,True,2294.28,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2020,arriesgado,0.5709168615582819,0.0,0.3881,0.2944,1.3184,0.2409,12,False,11062.78,0.5833,0.0012
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2020,muy_arriesgado,0.5509857175787191,0.0,0.5308,0.2725,1.9481,0.2161,12,False,11828.51,0.5,0.002
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2021,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2021,conservador,0.9999999999958556,0.5812485591598301,0.0,,0.0,0.0533,1,True,867.65,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2021,neutro,0.9958602798795578,0.0,0.3929,0.1288,3.0511,0.0533,12,False,12953.57,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2021,arriesgado,0.9474596862231732,0.0,0.2535,0.1385,1.8302,0.0566,12,False,11825.26,0.9167,0.0001
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2021,muy_arriesgado,0.932270571696998,0.0,0.2992,0.159,1.881,0.0621,12,False,12072.26,0.9167,0.0001
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2022,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2022,conservador,0.9962790178198908,0.37846424952014,-0.1468,0.183,-0.802,0.0866,4,True,3211.61,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2022,neutro,0.1899035555970652,0.1743640794824803,-0.2133,0.2029,-1.0514,0.1934,9,True,6895.05,0.2222,0.0037
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2022,arriesgado,0.209631993516101,0.0,-0.1026,0.1688,-0.6077,0.2209,12,False,8568.77,0.25,0.0065
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2022,muy_arriesgado,0.2135976061335461,0.0,-0.1343,0.2342,-0.5736,0.308,12,False,7934.06,0.25,0.0061
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2023,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2023,conservador,0.9886020293043718,0.1211990769299945,-0.1016,0.0544,-1.8687,0.0543,5,True,4502.57,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2023,neutro,0.5322686893287546,0.0,0.1492,0.1674,0.8912,0.0809,12,False,11238.56,0.5,0.0014
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2023,arriesgado,0.0498731527548649,0.0,0.1343,0.1377,0.9754,0.0713,12,False,10407.87,0.0833,0.0048
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2023,muy_arriesgado,0.1365559177916611,0.0,0.2091,0.1611,1.2979,0.0754,12,False,10681.94,0.1667,0.0019
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2024,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2024,conservador,0.9999993076254668,0.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2024,neutro,0.9863453356988586,0.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2024,arriesgado,0.4830867718620908,0.0,0.2751,0.0904,3.0418,0.0301,12,False,11776.58,0.3333,0.0037
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2024,muy_arriesgado,0.5962502997659868,0.0,0.2767,0.1102,2.5124,0.0401,12,False,12049.3,0.4167,0.0015
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2025,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2025,conservador,0.9792290161047728,0.0,0.2179,0.0754,2.89,0.0324,12,False,11366.0,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2025,neutro,0.6573638403655159,0.0,0.2266,0.0745,3.0428,0.0324,12,False,11389.62,0.6667,0.0011
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2025,arriesgado,0.675679491304027,0.0,0.2557,0.1014,2.5227,0.0543,12,False,11306.29,0.6667,0.001
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025,2025,muy_arriesgado,0.5901755482129076,0.0,0.2216,0.1368,1.6195,0.1057,12,False,11004.95,0.5833,0.0011
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2019,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2019,conservador,0.2997955636898816,0.1451718228485861,0.1002,0.158,0.6341,0.0597,5,True,4785.46,0.2,0.0051
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2019,neutro,0.5707466706387873,0.0,0.139,0.0516,2.696,0.0258,12,False,11168.19,0.5833,0.0027
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2019,arriesgado,0.5464613943755254,0.0,0.1435,0.0777,1.8466,0.0583,12,False,11980.36,0.5,0.0043
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2019,muy_arriesgado,0.4551011895436804,0.0,0.1808,0.0715,2.5301,0.0686,12,False,12286.75,0.4167,0.0053
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2020,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2020,conservador,0.999990904533432,0.4990894757819538,-0.3353,,0.0,0.1131,2,True,1599.56,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2020,neutro,0.937746645075546,0.3333295176154565,-0.6651,0.3764,-1.7673,0.2638,3,True,2302.25,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2020,arriesgado,0.6400111713874831,0.0,0.4757,0.3071,1.549,0.2465,12,False,11283.07,0.6667,0.0008
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2020,muy_arriesgado,0.7420625500313959,0.0,0.6361,0.29,2.1933,0.221,12,False,12281.44,0.75,0.0002
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2021,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2021,conservador,0.9999999999958556,0.5812485591598301,0.0,,0.0,0.0533,1,True,867.65,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2021,neutro,0.9958602798795578,0.0,0.3929,0.1288,3.0511,0.0533,12,False,12953.57,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2021,arriesgado,0.9686292309432452,0.0,0.2214,0.1602,1.3823,0.0828,12,False,11645.45,0.9167,0.0001
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2021,muy_arriesgado,0.9659861606273892,0.0,0.2318,0.192,1.2077,0.0944,12,False,11870.6,0.9167,0.0001
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2022,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2022,conservador,0.9962790178198908,0.37846424952014,-0.1468,0.183,-0.802,0.0866,4,True,3211.61,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2022,neutro,0.1899035555970652,0.1743640794824803,-0.2133,0.2029,-1.0514,0.1934,9,True,6895.05,0.2222,0.0037
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2022,arriesgado,0.2408464481200554,0.0,-0.0794,0.174,-0.4561,0.2052,12,False,8781.33,0.25,0.0073
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2022,muy_arriesgado,0.2472577824551492,0.0,-0.1221,0.2279,-0.5359,0.276,12,False,8215.68,0.25,0.0069
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2023,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2023,conservador,0.9886020293043718,0.1211990769299945,-0.1016,0.0544,-1.8687,0.0543,5,True,4502.57,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2023,neutro,0.5322686893287546,0.0,0.1492,0.1674,0.8912,0.0809,12,False,11238.56,0.5,0.0014
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2023,arriesgado,0.0745383977131977,0.0,0.1725,0.1277,1.3503,0.0576,12,False,10582.45,0.0833,0.0039
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2023,muy_arriesgado,0.2406046153904021,0.0,0.2366,0.1498,1.5792,0.0816,12,False,10924.36,0.25,0.0014
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2024,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2024,conservador,0.9999993076254668,0.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2024,neutro,0.9863453356988586,0.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2024,arriesgado,0.6273803019285177,0.0,0.2702,0.1022,2.6429,0.0379,12,False,11798.84,0.6667,0.0005
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2024,muy_arriesgado,0.7338943971464817,0.0,0.2943,0.1391,2.1159,0.0482,12,False,12215.71,0.6667,0.0005
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2025,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2025,conservador,0.9792290161047728,0.0,0.2179,0.0754,2.89,0.0324,12,False,11366.0,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2025,neutro,0.5041747260098487,0.0,0.23,0.0742,3.0995,0.0324,12,False,11392.52,0.5,0.0016
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2025,arriesgado,0.7825455322658156,0.0,0.1387,0.1101,1.2597,0.0827,12,False,10739.5,0.8333,0.0003
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2025,muy_arriesgado,0.7191736970756609,0.0,0.2865,0.1583,1.8099,0.1056,12,False,11364.69,0.6667,0.0011
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2019,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2019,conservador,0.2997955636898816,0.1451718228485861,0.1002,0.158,0.6341,0.0597,5,True,4785.46,0.2,0.0051
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2019,neutro,0.5747409897302757,0.0,0.1368,0.0513,2.6661,0.0257,12,False,11139.27,0.5833,0.0027
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2019,arriesgado,0.5710037657093829,0.0,0.0922,0.0842,1.0955,0.0607,12,False,11517.73,0.5,0.0037
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2019,muy_arriesgado,0.4905289774346974,0.0,0.1192,0.095,1.2549,0.0929,12,False,11905.68,0.5,0.0045
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2020,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2020,conservador,0.999990904533432,0.4990894757819538,-0.3353,,0.0,0.1131,2,True,1599.56,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2020,neutro,0.941521840003742,0.3333290466800673,-0.6627,0.3773,-1.7564,0.2626,3,True,2304.9,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2020,arriesgado,0.6793166451817488,0.0,0.54,0.3422,1.5784,0.2506,12,False,11712.04,0.6667,0.0008
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2020,muy_arriesgado,0.79827200487823,0.0,0.5305,0.2975,1.783,0.2405,12,False,11816.96,0.8333,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2021,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2021,conservador,0.9999999999958556,0.5812485591598301,0.0,,0.0,0.0533,1,True,867.65,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2021,neutro,0.9958602798795578,0.0,0.3929,0.1288,3.0511,0.0533,12,False,12953.57,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2021,arriesgado,0.975251337066306,0.0,0.2178,0.1559,1.3968,0.0849,12,False,11594.64,0.9167,0.0001
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2021,muy_arriesgado,0.9818610832881364,0.0,0.1659,0.2012,0.8247,0.1115,12,False,11704.28,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2022,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2022,conservador,0.9962790178198908,0.37846424952014,-0.1468,0.183,-0.802,0.0866,4,True,3211.61,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2022,neutro,0.1899035555970652,0.1743640794824803,-0.2133,0.2029,-1.0514,0.1934,9,True,6895.05,0.2222,0.0037
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2022,arriesgado,0.2465271861956572,0.0,-0.0885,0.1708,-0.518,0.2187,12,False,8690.45,0.25,0.0082
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2022,muy_arriesgado,0.2498206030486783,0.0,-0.1352,0.2222,-0.6086,0.2894,12,False,8110.2,0.25,0.0075
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2023,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2023,conservador,0.9886020293043718,0.1211990769299945,-0.1016,0.0544,-1.8687,0.0543,5,True,4502.57,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2023,neutro,0.5322686893287546,0.0,0.1492,0.1674,0.8912,0.0809,12,False,11238.56,0.5,0.0014
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2023,arriesgado,0.0766712694525723,0.0,0.1943,0.1265,1.5359,0.0539,12,False,10579.41,0.0833,0.0038
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2023,muy_arriesgado,0.2797444195517074,0.0,0.2167,0.1275,1.6996,0.0774,12,False,11265.46,0.3333,0.001
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2024,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2024,conservador,0.9999993076254668,0.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2024,neutro,0.9863453356988586,0.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2024,arriesgado,0.6667425750477579,0.0,0.2876,0.1023,2.8121,0.0434,12,False,12036.42,0.6667,0.0005
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2024,muy_arriesgado,0.8095304274905768,0.0,0.3202,0.1319,2.428,0.0553,12,False,12581.82,0.75,0.0003
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2025,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
